"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132750750" 34.5006889126331 0.0136475762461322 0.369517703957508 0.0369334841063571 0.970538041496203 0.995782447896944
"LOC132751655" 1684.52227952304 -0.594747846108791 0.233629269304653 -2.54569064860293 0.0109061791118414 0.253547195493793
"LOC132753198" 591.772776365203 0.255111968353785 0.187665121753267 1.35940000981745 0.174019868009884 0.662085282343346
"LOC132755019" 162.57848170381 -0.0851703058877391 0.123942023077276 -0.687178599905835 0.491970188175174 0.871496234627119
"LOC132715378" 56.341755188379 0.602075710919855 0.45648028649266 1.31895227184041 0.187185069206773 0.67858847341656
"LOC132713857" 104.659297232398 0.688422690264355 0.2539923891719 2.7104067665525 0.00672007383442027 0.207759350744773
"LOC132722257" 443.227530607183 -0.110579759552725 0.209894627098636 -0.526834636413823 0.598308427840007 0.913301518919921
"LOC132723126" 684.195131519048 -0.115781616188708 0.169182068357213 -0.684361039635979 0.49374721155721 0.871611688078173
"LOC132724356" 901.364570841026 -0.00210117567458819 0.156257869097755 -0.0134468471042165 0.989271291628433 0.998440522062374
"LOC132725203" 4517.6326624925 0.056279967378696 0.216627974777265 0.259800090161775 0.795017981402895 0.96358398608048
"LOC132726113" 41.4822213646331 0.166649274314449 0.380497678541164 0.437977111853576 0.661402875265662 0.930812269156379
"LOC132736783" 33.3044124514469 0.0965723600159988 0.256058479091171 0.377149627533379 0.706062412179765 0.941110008951368
"LOC132736883" 31.9950811993311 -0.0725033125039896 0.249142104787216 -0.291011880813612 0.771042232993992 0.956847999346605
"LOC132737219" 94.8745472088751 -0.0124991678265993 0.259305672129015 -0.0482024466490669 0.961554900312151 0.994765443533072
"LOC132737376" 101.869907604711 -0.304343669984185 0.421782714019962 -0.721565061506482 0.470561926353228 0.861602534919632
"LOC132737931" 37.2160744558607 -0.119272657188172 0.288992050630198 -0.412719508817204 0.679812129831536 0.933181655354959
"LOC132738013" 179.223175126637 -0.0835210076251843 0.224148176276276 -0.372615155798722 0.709434891231979 0.941338602740937
"LOC132739949" 109.706187668991 -0.0508013573674972 0.212367066010688 -0.239214857189487 0.810938982689699 0.967551853407029
"LOC132740046" 995.665899716766 0.177346462435989 0.177266408924675 1.00045160000589 0.317092009249809 0.783806332029959
"LOC132740356" 57.0629117070574 0.299330848719593 0.272578725184378 1.09814457645996 0.272141363079639 0.749280262301647
"LOC132740868" 149.736449199561 -0.24272129862804 0.13837565089214 -1.75407520805257 0.0794176211260326 0.516464977919637
"LOC132740797" 74.1242917348231 -0.591274103896369 0.248408844610786 -2.38024577918228 0.0173010942374366 0.297148979458322
"LOC132741581" 229.907655828931 0.132926240578252 0.247746016095738 0.536542393993067 0.591583744694746 0.911678041925779
"LOC132741905" 614.478128493699 -0.137746781805368 0.2556558510313 -0.538797689353501 0.590026458162328 0.910617834828985
"LOC132741438" 301.903978673958 -0.00963116225476908 0.399659482112819 -0.0240984204950011 0.98077410322022 0.997514791690938
