"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132713118" 1064.20221850826 -0.619252660180529 0.163056473637722 -3.79778028044678 0.000145997648957285 0.0480887189583291
"LOC132715395" 81.4122693622883 1.19676036551587 0.279296115092549 4.28491590410882 1.82808324104914e-05 0.0143515959942614
"LOC132720785" 62.4577601530176 1.45539161032882 0.328828009887101 4.42599646796667 9.59980945131486e-06 0.0100486005431638
"LOC132722155" 357.717212083836 -0.876881502905476 0.230395648552942 -3.80598118242663 0.000141243121911698 0.0480887189583291
"LOC132722184" 177.943208831158 -0.746911469365125 0.188927192005363 -3.95343550834081 7.70370346936126e-05 0.0403192580327695
"LOC132723766" 95.3734573227872 1.65184195808381 0.362698765186976 4.55430819355633 5.2558254614685e-06 0.00806602988845109
"LOC132725056" 108.269260734883 -1.1179053208573 0.24938873420682 -4.48258147832056 7.37454715728114e-06 0.00926316868426084
"LOC132727157" 124.790312295968 -1.05051694443253 0.262407874855955 -4.00337430806601 6.24453843517888e-05 0.0341033249062095
"LOC132728236" 179.53958170679 0.560374314498292 0.131536921756914 4.26020547701345 2.04239053345847e-05 0.0150908632298658
"LOC132729677" 651.512189406939 -0.541610111707335 0.139628139960124 -3.87894669270831 0.000104909739414969 0.0470632584568368
"LOC132729883" 33.807557906743 1.84943880201764 0.451928233760744 4.09232852443725 4.27063029755187e-05 0.0268216935837745
"LOC132730403" 637.2207481916 -1.19728625991098 0.26405064939846 -4.53430530331414 5.77933834854389e-06 0.00806602988845109
"LOC132730855" 52.1731323176173 -1.3977476313933 0.364990850709198 -3.82954155885661 0.000128382201695915 0.0480887189583291
"LOC132731011" 92.9706658255938 -1.05468943251715 0.22096242044161 -4.77316201736601 1.81355779401642e-06 0.00569502486266006
"LOC132731012" 85.4889921259933 -0.934462510559998 0.20070553717938 -4.65588804221591 3.22587206068464e-06 0.00806602988845109
"LOC132732296" 654.873693080734 0.697550053228405 0.178694431132529 3.90359144830353 9.4775716060445e-05 0.0440917692383426
"LOC132732878" 175.550808810041 -0.498047240440078 0.131334045971259 -3.79221729412853 0.000149308179235319 0.0480887189583291
"LOC132733016" 23.2718868826658 2.19377895491552 0.527927474098359 4.15545517622899 3.24640587980065e-05 0.0214621601348295
"LOC132737163" 27.8616413662203 1.42091727520551 0.372156954719016 3.81805917419527 0.000134505667387427 0.0480887189583291
"LOC132737737" 3522.60488978509 -1.01444160859832 0.266385688068674 -3.80816858425516 0.000139999818980357 0.0480887189583291
"LOC132741452" 3973.583533813 -0.614547782378565 0.15708227584991 -3.91226686176712 9.14337926000436e-05 0.0440917692383426
"LOC132741641" 55.9489305020698 3.54994839148278 0.781687181665724 4.54139261170699 5.58838497837764e-06 0.00806602988845109
"LOC132742068" 68.1803000549294 -1.49340496871174 0.343144115775241 -4.35212174726586 1.34826352700008e-05 0.01209681297332
"LOC132745166" 68.5447053034062 1.15006209710582 0.298256836607471 3.85594546695804 0.000115283187659825 0.0474700756217635
"LOC132745822" 301.203554145315 -1.23420911010267 0.271700204339273 -4.54254023512441 5.55803839317443e-06 0.00806602988845109
"LOC132746012" 675.013468349586 -0.376727826234953 0.0933177789602102 -4.03704235605078 5.41292989648599e-05 0.0323770535379812
"LOC132746399" 111.575789849726 -1.34461882238652 0.253521041045587 -5.30377603705381 1.13431466723866e-07 0.00142481265351849
"LOC132746437" 157.617392946071 -0.631966361379578 0.161735827509674 -3.90739869520733 9.32951374160521e-05 0.0440917692383426
"LOC132746792" 84.1093089255687 -1.09799089339221 0.215659120428556 -5.0913260297561 3.55568023764789e-07 0.00223314497325476
"LOC132747103" 84.1607943008413 1.47003010844462 0.386424637795876 3.80418318259806 0.000142272871211931 0.0480887189583291
"LOC132747234" 133.466509053986 -1.15536033475631 0.305807146400184 -3.7780684603243 0.000158049436161138 0.0496314741905015
"LOC132749309" 119.383445117869 -1.32302944914581 0.306808084051545 -4.31223790349518 1.61610403724237e-05 0.0135332552078676
"LOC132752133" 65.823857617885 -1.21125604974958 0.31890953453709 -3.79811801960632 0.000145798902685056 0.0480887189583291
"LOC132757649" 375.680317549199 -1.26578161816863 0.314561178207317 -4.02396006202138 5.72276261661361e-05 0.0326743732851289
"LOC132758254" 401.175360310328 -0.682400189932503 0.162664093969257 -4.19514948431997 2.72691685478913e-05 0.0190293347850035
"LOC132758583" 1481.26307043342 -1.04004360447335 0.235931440532213 -4.40824504833789 1.04211598625811e-05 0.0100692453102985
"LOC132758975" 88.8585080265999 -0.877745021410755 0.227866982864474 -3.85200615893003 0.000117154075652788 0.0474700756217635
"LOC132759372" 133.107178543439 -0.868869450632643 0.174391512631033 -4.98229207100775 6.28354952933142e-07 0.00263092218793106
"LOC132759609" 26.5973231435926 2.11250873791222 0.473580520352924 4.46071712649398 8.16858517002976e-06 0.00932778166552217
"LOC132759803" 1278.92076099619 -0.742672315830907 0.192507084843968 -3.857896016829 0.000114367281495879 0.0474700756217635
