"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"BJM09_gp01" 109498.080706601 -0.0540343762377398 0.215320220822886 -0.250948917065186 0.801853603831392 0.967059902991259
"BJM09_gp02" 478056.441473878 -0.0854494296728078 0.164580911945326 -0.519194046641292 0.603625430182713 0.908766237884845
"BJM09_gp03" 14428.7912612856 0.348066378875869 0.225392516524893 1.54426768129823 0.122523498561322 0.599887384347142
"BJM09_gp04" 25294.3993503246 -0.0324557793844529 0.206775575840705 -0.156961378308316 0.875275286388703 0.979331809301364
"BJM09_gp05" 54231.0649330976 -0.317407147866769 0.160914167440422 -1.97252456334703 0.0485497550706661 0.431587737751335
"BJM09_gp06" 800667.413128313 -0.15678571640114 0.1265599754413 -1.23882543319439 0.215410152960094 0.700431512123154
"BJM09_gp07" 209600.703254368 -0.0211598529531629 0.140741121259353 -0.150345917126596 0.880491708031967 0.980165603563932
"BJM09_gp08" 32620.5790194485 0.0123320179317501 0.137836954080071 0.0894681547053504 0.928709860927554 0.989171959883709
"BJM09_gp09" 79188.0523021122 0.0959419670638543 0.161648425846701 0.593522433400253 0.552831574253988 0.888470355878733
"BJM09_gp10" 7067.93287248655 -0.0802513196381403 0.173652804432406 -0.462136617375379 0.643983352612311 0.922074030711528
"BJM09_gp11" 56475.9962389881 0.274013226980207 0.206675142457707 1.32581607890402 0.18490062578234 0.671679311236787
"BJM09_gp12" 169502.030102254 0.147370939629704 0.145473386240832 1.01304398995519 0.311039149570334 0.779805826505077
"BJM09_gp13" 510468.840810056 -0.151378052242659 0.143653657807126 -1.05377095545945 0.291987794091627 0.767849799663192
"BJM09_gr01" 43435.9950479711 -0.232298629533762 0.179121803043284 -1.2968752300781 0.194674120472943 0.683235995322895
"BJM09_gr02" 9425848.08441284 -0.313488410169624 0.139388297287776 -2.24902962637104 0.0245106112370506 0.328714180856994
"BJM09_gt22" 136.636955182306 -0.433971891618884 0.259707810393623 -1.67100054080445 0.0947215709909368 0.549814072651182
"BJM09_gt24" 745.574190693745 -0.169160774738195 0.3177244325115 -0.532413492412399 0.594439642366342 0.907307883144651
"LOC132712682" 639.294512733992 -0.182206181163351 0.384476619228213 -0.473907051953137 0.635566190219974 0.919952398634835
"LOC132712683" 54.9233399537352 -0.475184832744971 0.307627671920031 -1.5446751905612 0.122424848750739 0.599887384347142
"LOC132712684" 231.492791942524 -0.0936084038840747 0.182387515797788 -0.513239096846179 0.607784080427033 0.909234424152673
"LOC132712695" 300.390452502352 -0.0579865787964633 0.212333250841365 -0.273092313929603 0.78478225484631 0.963468871912217
"LOC132712697" 75.6043744402956 0.0879125988134059 0.266811911328685 0.329492781546422 0.741783249128876 0.951239418051618
"LOC132712702" 26.772346868787 -0.0712491440756815 0.253238451685943 -0.281351996907808 0.778440432471768 0.961265264675371
"LOC132712718" 162.463609562453 0.552943718628315 0.538490766643254 1.02683973965822 0.304495933390883 0.776288495904787
"LOC132712719" 305.397284365273 0.273306871183209 0.290357540948952 0.941276986607554 0.346562933014271 0.80006928902633
"LOC132712727" 3279.05091374143 0.101246174896649 0.126767654544816 0.798675145171637 0.424478802373272 0.839065939180773
"LOC132712728" 2686.0392477126 -0.0303450910843382 0.189229667435544 -0.160361171139691 0.872596574673569 0.978545270464664
"LOC132712729" 9485.3593657603 -0.0166488571566289 0.157785025259873 -0.105516078786362 0.915966312182394 0.986745527214669
"LOC132712736" 7229.77762314752 0.00493506357895724 0.112684177432996 0.0437955327125825 0.96506738804837 0.995988405681918
"LOC132712748" 101.755349378474 0.195682052331463 0.203164229598698 0.963171778407969 0.335461325287574 0.794217098786361
"LOC132712750" 273.01355055871 0.124740165282064 0.141446376355746 0.88189014449077 0.377836217179324 0.81563890623548
"LOC132712751" 288.570042654949 -0.0291321022580256 0.27449137735316 -0.106131210892444 0.915478248271981 0.986558191192892
"LOC132712752" 148.91009306513 0.248690086944888 0.789783433466782 0.314883899062372 0.752849806905172 0.953717592658661
"LOC132712753" 190.020232763284 -0.115470785090478 0.312457443030303 -0.369556839391018 0.711712714940877 0.945080679326952
"LOC132712754" 63.3539540751411 0.16264110745521 0.51784982044383 0.314070027707679 0.753467853008069 0.953871165252404
"LOC132712755" 60.135398644869 -0.395036827268433 0.529808494681006 -0.74562192043803 0.455895837382719 0.854639731923693
"LOC132712765" 95.4171388907717 0.0603445963254022 0.400850078870677 0.15054156031455 0.880337363933252 0.980138063141782
"LOC132712768" 204.78022295822 0.138730036871549 0.230729022326329 0.601268256038194 0.547661329005407 0.888443957471483
"LOC132712769" 577.043446595906 -0.17638552736508 0.362214222457868 -0.486964664634605 0.626283372012061 0.916503745789031
"LOC132712771" 259.377745511429 -0.252207153356772 0.284941240550888 -0.885119868465407 0.376091984592556 0.815548464580314
