"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132750750" 34.5006889126331 0.0137391127754219 0.372685881783176 0.0368651281065033 0.970592544575908 0.995928679726582
"LOC132751655" 1684.52227952304 -0.59474789591604 0.233927365225402 -2.54244686312338 0.0110079337506888 0.251960988240666
"LOC132753198" 591.772776365203 0.255102216933839 0.186613048472551 1.36701168016856 0.171621644465309 0.672171843049369
"LOC132755019" 162.57848170381 -0.0851319870942755 0.120658362845388 -0.705562259313627 0.48046040135705 0.876369024625352
"LOC132712990" 11.6642519350013 -0.738993865136921 0.452251503569838 -1.63403296463072 0.102251929052146 0.576965072845498
"LOC132715378" 56.341755188379 0.602058915051634 0.463298990803983 1.29950405030422 0.193771004374335 0.696697117754062
"LOC132713857" 104.659297232398 0.68841256619842 0.254462268882927 2.7053620531661 0.00682299800339328 0.209532106355038
"LOC132722257" 443.227530607183 -0.110582774400252 0.209450009999323 -0.527967386588377 0.597521972110498 0.915501201035583
"LOC132723126" 684.195131519048 -0.115792268866957 0.167647834560875 -0.690687530621882 0.489761927136679 0.878697624355901
"LOC132724356" 901.364570841026 -0.0021109941001882 0.154415778840969 -0.0136708444955116 0.989092583996398 0.999083702853946
"LOC132725203" 4517.6326624925 0.0562799609554333 0.216463392872342 0.259997592242418 0.794865630861173 0.966318432667838
"LOC132726113" 41.4822213646331 0.16660100399656 0.384371431643213 0.433437530162763 0.664696940337234 0.93362238895354
"LOC132736783" 33.3044124514469 0.0965225343911713 0.255152062793345 0.378294156568696 0.705212085848281 0.943979476213693
"LOC132736883" 31.9950811993311 -0.0724995624913385 0.247871641413965 -0.292488330160604 0.769913281164524 0.960769709955902
"LOC132737219" 94.8745472088751 -0.0124952200984743 0.259965900222314 -0.048064842688171 0.961664565275846 0.995103985691216
"LOC132737376" 101.869907604711 -0.304335433965998 0.427658181695458 -0.711632436820115 0.476692415399315 0.874230903344433
"LOC132737840" 4.9986937225241 2.1510662194633 0.863016370728273 2.49249758454533 0.0126848193327588 0.269680815434001
"LOC132737931" 37.2160744558607 -0.119290286166659 0.289535088043243 -0.412006320107367 0.68033479084637 0.936714698936622
"LOC132738013" 179.223175126637 -0.0835202131567342 0.223933402096887 -0.372968982629033 0.709171529289567 0.94485314017688
"LOC132738247" 6.85615512780584 -0.12738371189761 0.52468177223996 -0.242782804048607 0.808173657463871 0.969819695155108
"LOC132738099" 5.65395029353193 -1.33523124454897 0.836099002812587 -1.5969774393431 0.110270736267003 0.590846891302193
