"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132742068" 68.0492010706692 -1.48450937787495 0.334765575046984 -4.43447441591508 9.22971790900318e-06 0.0113021819506146
"LOC132738510" 114.224230022783 -0.944213818133576 0.253560504710185 -3.72382055010024 0.000196230430701561 0.0483963964415045
"LOC132727777" 27.0503605127884 1.80227353190468 0.408172496525918 4.41547029073342 1.00790622534369e-05 0.0113021819506146
"LOC132728236" 169.997079347771 0.527530412337545 0.133326026165158 3.95669493429636 7.59938783652343e-05 0.0313794202426779
"LOC132740341" 163.843954885787 -1.0096084035897 0.254322849135896 -3.9697903944534 7.19358857464415e-05 0.0313794202426779
"LOC132741452" 3020.53903848456 -0.647583624273191 0.141871981770978 -4.56456318005465 5.00535447344538e-06 0.00709821831265472
"LOC132741637" 147.140425711603 -1.02936250443994 0.264346797959998 -3.89398514520955 9.86106909652637e-05 0.0360883319032554
"LOC132742094" 15.7210118061738 1.87542005950473 0.480026962205962 3.90690566814464 9.34856291975485e-05 0.0353531487748729
"LOC132742857" 560.056293423501 -0.872954935658364 0.231001891270732 -3.77899475565449 0.000157462740066389 0.0462150331026009
"LOC132743875" 120.999709714679 -0.781158266195491 0.206345933361187 -3.78567318226793 0.000153293032311821 0.0462150331026009
"LOC132745166" 62.7389259864658 1.19280898552925 0.29758218741327 4.00833462478965 6.11484361813087e-05 0.0313794202426779
"LOC132745822" 225.660280860098 -1.29960367742017 0.274235935793666 -4.7389984600632 2.14777136542662e-06 0.00392930571291703
"LOC132746012" 540.721225274829 -0.390093275274543 0.101688728324904 -3.8361505911271 0.000124977791985778 0.0429658500023834
"LOC132746399" 80.8726248757508 -1.32407058926082 0.274234920018008 -4.82823481843187 1.37748608342231e-06 0.00392930571291703
"LOC132746437" 128.099938520346 -0.68229062040306 0.171722651558812 -3.9732127020493 7.09096741899719e-05 0.0313794202426779
"LOC132746792" 60.5513968574354 -1.14141155958576 0.238846166049091 -4.77885652705499 1.7629493273376e-06 0.00392930571291703
"LOC132752133" 59.5327419214334 -1.19844341648617 0.288572159681207 -4.15301121844228 3.28128645879184e-05 0.0248174632499956
"LOC132752300" 622.808393408431 -0.834741973672866 0.203949038552639 -4.09289487019289 4.26020903121184e-05 0.0279054739903165
"LOC132753131" 145.273116864248 -0.784712856262362 0.209583310853412 -3.74415717104122 0.000181000329864472 0.0466692895980098
"LOC132755646" 34.1310851017649 1.22460677686533 0.290625334803271 4.21369588337605 2.51225506656314e-05 0.0213821638454129
"LOC132757649" 210.852034572272 -1.25832878152714 0.332327698706797 -3.78640957832806 0.000152839676324831 0.0462150331026009
"LOC132758254" 187.733916591935 -1.18860991824847 0.200372925214527 -5.93198865054195 2.99287317282028e-09 3.3954146145646e-05
"LOC132758583" 1019.73547764913 -1.0530709832914 0.241868664665507 -4.35389588290715 1.33739243739443e-05 0.0126439310018665
"LOC132758975" 77.1851380395887 -0.906959339853231 0.239465910581071 -3.78742568264714 0.000152216192246192 0.0462150331026009
"LOC132759052" 85.2613624513765 -1.13705378564853 0.280629859034992 -4.05179188543422 5.08268662591972e-05 0.0288315398855296
"LOC132759372" 58.4700840984085 -0.921853011999923 0.219352770494071 -4.20260482657019 2.63860990600071e-05 0.0213821638454129
"LOC132759828" 279.901603073 0.47652111769247 0.126382611319227 3.77046424914292 0.000162944144918822 0.0462150331026009
