"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132742068" 68.0492010706692 -1.48452457462806 0.336058772974469 -4.41745520132825 9.98697610616146e-06 0.00852729587542464
"LOC132738510" 114.224230022783 -0.944215581357635 0.253406431874687 -3.7260916164297 0.000194471744151544 0.0470476492679458
"LOC132739257" 7.75996085864448 5.37674873729882 1.12208532618545 4.79174676989779 1.65335500872049e-06 0.00332940700973655
"LOC132718766" 2986.77647798648 -0.646556772330861 0.174668980983905 -3.70161186427509 0.000214234166563896 0.047718393618833
"LOC132727777" 27.0503605127884 1.80227110768111 0.408005772265175 4.41726865204681 9.99559637442582e-06 0.00852729587542464
"LOC132728236" 169.997079347771 0.527387330045874 0.129695847290485 4.06633937064049 4.77573755927118e-05 0.0249709451929763
"LOC132739594" 11.2079546166912 4.11964343023414 0.896909504210262 4.59315394796884 4.36596734308535e-06 0.00521971506879296
"LOC132740341" 163.843954885787 -1.00960952774485 0.254855013051765 -3.96150546797283 7.44786761525485e-05 0.0299741314093948
"LOC132741452" 3020.53903848456 -0.6475847714367 0.140191698077779 -4.61928045894284 3.85073074512552e-06 0.0052013745539783
"LOC132741637" 147.140425711603 -1.02936124614 0.26505192128353 -3.88362114545429 0.000102912219443249 0.0363623038436525
"LOC132741641" 20.3093406557458 3.34217762644707 0.729590447056742 4.58089554205353 4.62989065441525e-06 0.00521971506879296
"LOC132742094" 15.7210118061738 1.87558469163278 0.478490212923612 3.91979739809685 8.8623439195418e-05 0.0334069145562449
"LOC132742857" 560.056293423501 -0.872954675172086 0.231879083989988 -3.76469779055095 0.000166750632871349 0.043891890381385
"LOC132743875" 120.999709714679 -0.781145505963874 0.204691696741149 -3.81620514363952 0.000135519845819967 0.0398896761410587
"LOC132745166" 62.7389259864658 1.19280964806709 0.297377549953478 4.01109514909142 6.04377450779241e-05 0.0288128061755315
"LOC132745195" 14.3281272830066 -1.70387603212891 0.443750829910537 -3.83971345467099 0.000123177993565675 0.0373818105123375
"LOC132745822" 225.660280860098 -1.29961457481981 0.275891570403706 -4.71059906947543 2.4698970082596e-06 0.00363950550971635
"LOC132746012" 540.721225274829 -0.390160769334009 0.0983969720877756 -3.96517048294904 7.33435081885668e-05 0.0299741314093948
"LOC132746109" 166.646726403766 -0.846068614008523 0.228523020111683 -3.70233429260227 0.000213624885255379 0.047718393618833
"LOC132746399" 80.8726248757508 -1.32406881513501 0.273958738240403 -4.83309575609565 1.34426087125204e-06 0.00320871080735496
"LOC132746437" 128.099938520346 -0.682259610941852 0.168958686822235 -4.03802624046003 5.3902824690699e-05 0.0264760874367133
"LOC132746691" 29.241347755776 4.59837266260692 0.96416029483389 4.76930307879889 1.84864353677765e-06 0.00332940700973655
"LOC132746792" 60.5513968574354 -1.1413812621259 0.23645528657024 -4.8270490318974 1.38571013952031e-06 0.00320871080735496
"LOC132747531" 11.9858824248679 -2.9055417430217 0.751453389787666 -3.86656282679449 0.000110380037708688 0.0363623038436525
"LOC132748111" 8.98312217225349 3.17281817371316 0.798407780448178 3.9739319322917 7.06957744720099e-05 0.0299741314093948
"LOC132748662" 17.7027611521786 -2.73606318246139 0.727467218096777 -3.76108106921926 0.000169180582610634 0.043891890381385
"LOC132750036" 429.252562791507 -0.578845873485741 0.156102095422642 -3.70812366047063 0.00020880069003484 0.047718393618833
"LOC132750696" 16.3770561457808 -1.33095276103646 0.344210504385803 -3.86668257963645 0.000110325874149717 0.0363623038436525
"LOC132752133" 59.5327419214334 -1.19845412115551 0.28789733854055 -4.1627829115437 3.14392241435753e-05 0.0203839353657285
"LOC132752300" 622.808393408431 -0.834741956695293 0.203937383110728 -4.09312870432425 4.25591331563883e-05 0.0243474013352485
"LOC132752875" 5.61452720409477 -2.5367217381011 0.674840060804142 -3.75899696155905 0.000170595909311324 0.043891890381385
"LOC132753131" 145.273116864248 -0.784708202556408 0.20838469863416 -3.76567093313334 0.000166102439919437 0.043891890381385
"LOC132755646" 34.1310851017649 1.22469145326896 0.287654815569659 4.25750374052886 2.06722202689161e-05 0.0139615007641192
"LOC132757650" 599.065011443553 -0.682037536964959 0.185074885376047 -3.68519767325076 0.000228525205682956 0.0490849685892108
"LOC132757649" 210.852034572272 -1.25832416365421 0.335968191748271 -3.74536695603919 0.000180130288114093 0.0452326917344854
"LOC132757773" 22.2551698885547 2.37037007191228 0.545815666127284 4.34280329242054 1.40676082243295e-05 0.0108581838908646
"LOC132758254" 187.733916591935 -1.18863142824574 0.199233455857512 -5.96602324207953 2.4310567068812e-09 3.94049981618374e-05
"LOC132758583" 1019.73547764913 -1.05306892418166 0.243347212445927 -4.32743368455744 1.50856744199936e-05 0.0111147134851671
"LOC132758975" 77.1851380395887 -0.90687234922631 0.237895642255719 -3.81205952588024 0.000137813675359324 0.0398896761410587
"LOC132759052" 85.2613624513765 -1.13705404922548 0.280753266472271 -4.05001182537543 5.12150448127634e-05 0.0259420206678151
"LOC132759372" 58.4700840984085 -0.921921641080516 0.216113712250243 -4.26590997619346 1.99089052350856e-05 0.0139615007641192
"LOC132759609" 18.6792910887041 1.92666377064661 0.485078783337911 3.97185743187716 7.13143975333446e-05 0.0299741314093948
"LOC132759776" 5.76434188311299 2.62805717941888 0.667981128440185 3.93432848253618 8.34296202933344e-05 0.0321978741746347
"LOC132759803" 909.350851617411 -0.785945749819257 0.212569346654533 -3.69736164780416 0.000217851880300675 0.047718393618833
"LOC132759828" 279.901603073 0.476503191486068 0.123283067035266 3.8651146742623 0.000111037018269082 0.0363623038436525
