"","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132745822",8.08877656848099,8.4416551206386,8.04439711205436,9.28414830200559,9.81509857006572,7.61244327339753,8.48891641428941,6.66367129195362,7.7777254023298,7.1758533030223,8.49250253798418,6.76484551035313,8.02516679885296,8.88475344107339,6.94932274388068,5.85550070117172,6.80445917515098,7.44028954870034,6.92607157275962,6.67940484469507,6.83046939432645,6.50170336279824,6.67244851534244,7.86251383097445,6.98161403822261,7.75913057912942,6.84238403559308,7.86280691847579,5.49704776238331
"LOC132741452",11.9544538389214,12.075889059639,12.0776110079734,12.1395705058889,12.3233226818016,11.7609785076262,12.0946676567439,11.1633700769885,11.5388692488316,11.5781910703229,11.9338749170759,11.2631985618795,11.6981242387852,12.0471433265652,11.3006728025738,10.5701639006835,11.3426977460926,11.681833416055,11.4444357253269,10.870889308495,11.0774555676116,10.5880410688795,11.4948661613302,11.5023513389542,10.4964553363786,11.2197238718075,11.0274032831988,11.6487765959231,11.0018196159036
"LOC132728236",7.02659862925069,6.82269452440587,6.78684168027148,7.40030654012397,6.90413923449318,7.21486577465201,7.33038851706498,7.71678627439675,6.90872444611083,7.23205302529159,6.2085718877684,7.20975719164295,7.06361034287446,6.64574999717957,7.59622894619129,7.55984586796328,7.62887624324826,7.60187924578561,8.00304897220651,7.87550806547562,7.85889867546952,7.51980819196744,7.2969198570289,7.49930047362678,7.82341969030142,7.6070656254511,7.9859262434776,7.41137760625995,7.29706921422739
"LOC132746691",1.70922712394321,0,0.730443664047427,2.00603181088576,3.65751859508121,2.02647754872983,1.76515947452759,2.9433956956571,1.07263071193603,0,1.08568403418547,0,0,1.0630580187508,8.28034191159108,0.886947513213227,3.73426307798479,5.31765269589329,2.19609044699292,0.996421738028343,0,3.98176778699675,0,0,2.42046645512126,7.20247521614847,1.77411012660204,1.91044649202401,8.25017721080383
"LOC132719142",0,0,0,0,0,5.39190019297148,0.847760635670227,0,1.07263071193603,0,0,0,0,0,3.26791368199567,0,0.96110354871964,2.14754526416681,0,5.51655268405815,1.07448452200814,2.75599722807583,0,0,0.903569088054215,1.05907767312848,5.28234935400645,0,5.34457476727267
"LOC132733594",1.09418743226954,0,0,0,1.19597312106937,3.3536433362488,0.847760635670227,1.95161927165925,2.10761936276762,2.75354412435829,1.08568403418547,0,0,1.66844190052297,5.15096947184211,3.24680219316618,1.53286398123086,6.69935698942837,2.80128245109184,1.58018950980923,2.43932469631405,3.73688178873269,4.1211791844541,4.11748035673611,2.99376588706691,6.3998055622409,0.853402160223866,0.940919512041985,1.09245591886189
"LOC132739594",0,0,1.21306632744527,1.00402400802028,2.89820168759372,0,0,0,0,0.968854776182021,2.95126872082585,0,0,1.66844190052297,3.70990065111626,3.58980789359112,2.25918024055738,1.10002060259267,1.13364218249913,0.996421738028343,0,2.35356408060077,3.26792805384204,0.749799429914167,7.16784822116733,2.41532496408588,0.853402160223866,6.6486545822271,4.7572604596959
"LOC132712777",8.87218342117104,3.31842912691591,2.92438353493164,9.11654676108961,3.32724928505318,3.03084361203832,3.51047690038852,6.3953104398548,2.92971350056991,3.52733924429895,2.45668162796123,3.14675743959239,8.91466272437416,5.4781377102794,3.70990065111626,0.886947513213227,2.74001889273083,3.76334282717947,5.29321699082661,5.20248207327466,3.94275874456958,3.64505465689531,4.1211791844541,3.93666052827205,4.05938876324177,5.15684836209029,3.52203511976787,3.21377695349528,4.63108750981391
"LOC132725056",7.39089480413331,6.55648582282931,7.19644950160494,6.13720534320638,5.85308986037334,5.52627671054971,6.07415291200049,6.69062675198023,6.38792914647186,6.91481304461446,5.91853464100736,6.46834346195286,6.45785645980573,5.97941413435757,5.11548437105849,4.09895227205228,5.0933043769242,6.65092601583606,5.29321699082661,3.45291907209738,4.78362780225614,5.04721785411974,4.32133365894575,4.88876660066856,5.19763797772916,5.50549592460797,4.56005364839748,6.68779427119203,4.98066126773673
"LOC132734395",9.93394587526634,9.17416078395232,8.6142515707401,9.64465137543604,9.97909020027829,9.86170669520644,9.04440983410809,8.53148618312476,8.74876353934344,8.81367622164874,9.21338970264625,9.14923790638096,9.29331714480174,9.72509338241882,8.44305713625907,7.8473706308707,8.36430571218772,9.07275281536249,9.16535278228302,8.65818818875484,8.47131035106511,8.26137782618703,8.63385691106008,8.63294359364609,8.13181016074713,8.85027933385145,8.72703706307571,8.6772602622306,8.59670123238215
"LOC132758583",10.3000895180523,11.1869411961116,9.0965431322469,9.88147239163797,11.3941569980677,10.1810979585714,11.5006090628058,9.23214667230795,10.2475654788059,10.2990150070272,10.3734444172206,8.77348215842203,10.2768090672904,10.961826347744,8.58602913053471,8.68366919574082,9.33063943217443,9.87281337601684,9.93514142718927,9.29662669298301,9.15347174429107,8.5605396868847,10.1576402295347,9.13946889107394,8.81744988479943,9.9230617066462,8.95051226122406,9.49418628840997,9.38607084970385
"LOC132741641",1.70922712394321,0,1.21306632744527,2.00603181088576,2.6238604131911,0,0.847760635670227,0,0,0.968854776182021,2.45668162796123,1.69810764213327,0,5.11977207504535,7.1642696343816,2.13653170793392,3.10003366681418,5.54668155669134,4.14711736957886,2.31619860795616,5.3113916341252,2.56876750485238,4.1211791844541,1.89771910588049,0.903569088054215,3.80768344859022,7.41975495510719,3.21377695349528,6.30621372995631
"LOC132724679",3.75319890991609,3.31842912691591,2.92438353493164,4.39997255377907,2.28480410470566,2.61435222595418,1.37818446864762,2.9433956956571,3.83179430167105,4.39937699604621,0,2.1266841777737,3.4135936693894,5.0264154771545,1.44705255862693,0,0,0,2.19609044699292,0,0,2.75599722807583,1.44706271355877,2.14005718711006,2.42046645512126,1.05907767312848,1.38599044011337,1.91044649202401,0
"LOC132740341",7.11193157724793,8.55788730075322,7.10960129194701,9.16536972279765,8.69838792983078,7.81639815858655,7.60975771456541,6.52077851647927,7.11798732639701,6.84444925208877,8.20488392639278,6.76484551035313,7.80146864850362,7.56573813259217,7.30480226461835,6.07129552811041,6.34833636547909,7.39199381341172,6.95413023617477,6.56276579840931,6.80215374927527,6.19674496133866,6.50429041171056,7.33240695451655,6.51651270832552,6.55749459463117,6.05196550718272,6.76302529495082,7.24417202234953
"LOC132752300",10.2791593151106,9.01744625899099,9.10520261450708,8.88453671774928,10.5331049380377,9.60310676564856,9.68491862033137,8.81178309737039,9.55309219650236,9.72988518459634,9.78841536581067,8.62143423676204,9.55411637382853,10.6779850709313,8.39946330238759,8.52641812093293,9.16443703588306,9.04803130239848,9.02690005727129,8.59276593454283,8.68021429349312,8.34400828093119,9.31956040241926,8.74030682467898,8.62724837671305,8.68159134472629,7.8812129055119,9.42251644205083,8.86543305129602
