"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"BJM09_gp01" 106736.825867706 -0.19280037876594 0.21361431851948 -0.90256299344633 0.366757874579184 0.789063288925887
"BJM09_gp02" 476142.6738513 -0.0851681280153442 0.170115139751607 -0.500649901823565 0.616617536031706 0.905062260667592
"BJM09_gp03" 13597.3018031655 0.148601566952875 0.212938641847164 0.697860969074527 0.485264145658109 0.845645627664201
"BJM09_gp04" 24780.8656099769 -0.0723853995200676 0.208935713935102 -0.346448188089813 0.729005915820772 0.939709443737827
"BJM09_gp05" 54592.5682348635 -0.296888762542194 0.165459180476288 -1.7943323645601 0.0727601352707753 0.444253803368614
"BJM09_gp06" 803128.475427736 -0.157781307257041 0.129821628258098 -1.21536996087706 0.224225019629343 0.680616823989762
"BJM09_gp07" 207206.75999859 -0.0163993327815217 0.143513987308801 -0.114269926500161 0.909023821490705 0.981846415617487
"BJM09_gp08" 32203.4235244329 -0.0691369375310009 0.139322670014868 -0.496236093692599 0.619727848411724 0.90636692159095
"BJM09_gp09" 79185.1125763406 0.08602261678972 0.167148430607735 0.514648067450889 0.606798969518003 0.901631371944151
"BJM09_gp10" 6897.83470333813 -0.181076504047744 0.169195721285442 -1.07021916790826 0.284520668448667 0.730766435508761
"BJM09_gp11" 55267.4669721988 0.279833493452452 0.208591140463228 1.34154064660183 0.179744982009007 0.628537557466665
"BJM09_gp12" 167418.211592476 0.12184522544218 0.149036725963088 0.817551678318253 0.413613229148073 0.811885129055859
"BJM09_gp13" 505108.425688665 -0.141501700557916 0.147456493388583 -0.959616611694583 0.337248205437117 0.770576963449224
"BJM09_gr01" 43623.3113088062 -0.318160701838812 0.180005425244355 -1.76750618158821 0.0771434946859545 0.453403939957854
"BJM09_gr02" 9434866.55017807 -0.349941403636178 0.141247900539274 -2.47749808882205 0.0132307117386766 0.206072866395551
"BJM09_gt22" 137.796766905842 -0.498627928044475 0.263056458420886 -1.89551676867282 0.0580239723198357 0.407096795016265
"BJM09_gt24" 749.489165480105 -0.267356773377961 0.325257428340111 -0.821985141868597 0.411085353275505 0.811002196438957
"LOC132712682" 651.126760965332 0.0870527383131096 0.391189209857856 0.222533587633313 0.823898529529907 0.964129586545557
