"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132729677",8.79117313445345,9.95725661101791,9.38987606806447,8.87178608567915,9.22745233554817,9.43126347015418,9.272967274261,9.82457603838027,8.13722911404584,9.40390008119423,9.35491343315273,9.65252724232552,9.07248806262798,9.13125962006269,9.72762933315152,8.8202869017771,8.39016674963452,8.31166776966403,8.88614712488401,8.49204484473845,8.99281247359028,8.78798789681583,8.35746617227471,8.8409941366937,9.02538822185723,8.73099552346592,8.98112177418078,8.85434417014982,9.17162765617655,8.37579716149837
"LOC132728236",7.70174985842754,7.03157969891438,6.82519099770827,6.79126103919072,7.40297825703175,6.90950269031834,7.21667073340651,7.33116926830359,7.71898973959408,6.91364395465176,7.23409758910895,6.214897484094,7.21512594108774,7.06907957592303,6.64826361109514,7.6003059081701,7.56302664689779,7.63115113228887,7.60490365552814,8.00630251373909,7.87828603488822,7.86528472748909,7.52235014237255,7.29975228815337,7.50323242545073,7.82596407928753,7.60840487411296,7.98706870653708,7.41346078848765,7.2993356792356
"LOC132740341",6.03251507677308,7.11691485421094,8.56039932783618,7.11402873495373,9.16805265792783,8.70378346347428,7.81820728530043,7.61053932495238,6.52296840466252,7.12291240010368,6.84648959907508,8.21127435281414,6.77020109413821,7.80695434284618,7.56826369125144,7.30887449248793,6.07444573242135,6.35059475685588,7.39501577513334,6.95737018280173,6.56552615317499,6.80851002271444,6.19926601236445,6.50710958230949,7.33633623002972,6.51904047967579,6.5588264593537,6.05309521194727,6.76510149809647,7.24643794612277
"LOC132745166",5.31016832819786,5.22667326322869,4.74687427144112,4.70737121648096,6.01055747722451,5.36356016845028,5.2454790666736,4.49849359846243,5.4306145014113,4.72587748158884,5.58418069580008,5.07442203776411,6.37922149105535,4.85136060260292,4.82180504162031,6.48062391542965,6.21331541362103,6.87824618995938,6.7796410031024,5.00528681334729,7.58810415981451,4.39205274389477,5.50703140099785,5.11826833889251,6.41043984355123,5.66440373464332,7.96843891440087,5.3130686164518,6.99083120355832,5.76302565628581
"LOC132746437",6.95875621497265,7.15199644520364,7.31718183173584,7.40038637875088,7.58809732115364,7.58111601550974,7.4880159655654,6.50169030971852,7.15693722342077,7.48572872206587,6.83442112262033,7.28031805467425,7.04093895155307,7.52320437939439,7.82587332252183,6.30220409006433,5.29651129492512,6.46342001626307,6.68640379313905,6.87150040594742,6.72358621261318,6.35923102353314,6.29316946460723,7.12303578807219,7.40775273771406,6.14524036212439,6.80258460744161,5.90544890956395,6.90472964113191,6.97450047623593
"LOC132713118",9.02079346469821,9.77610644152612,10.2677582276456,9.8793892327107,9.70070947082015,10.6380646282516,10.1675516494192,9.59756133078941,10.2181612062917,9.84180021472738,9.63438391245491,10.2616138438649,10.052902475768,10.5139367499833,9.86396480816243,8.66587345166201,9.07621162971535,9.29639940490752,9.09102583165433,8.8988638004371,9.86136238465783,9.36822896789014,8.95180066315544,8.91265851182379,9.80121039144551,9.10689877559808,9.90821301941626,7.82186395522166,9.8829401540614,9.6034388424488
"LOC132722155",7.41307392390499,8.77962148932948,8.36276925157485,7.81045730450951,8.34160813041719,9.45276567303885,9.45270194924394,8.67055551423599,7.26865355470146,8.71242609061419,9.08639522703749,9.38701996934978,7.52852363724296,8.00366695803418,8.18084257993408,6.53550926897738,6.41385179617424,7.16234124605947,7.72698190004858,7.1880048893753,7.96142623035142,6.90527855226144,7.7491547165361,8.12233685583757,8.62194903183879,7.71654964582114,7.9558894045558,6.15468947254755,7.68286542908675,7.98175729222896
"LOC132729160",4.34608020493279,5.03952187244298,4.74687427144112,5.03285543822816,5.50234007451268,4.15752448289372,4.49478330580404,5.04464039151959,5.29645211010488,6.9003352692485,6.10986952781987,6.17042604850679,4.97351415395905,4.58620943605031,6.37235276434563,5.08308145230009,3.7831586538444,4.17547695743514,4.09117998788941,5.29640004392285,1.99671955743814,3.59800435829553,4.93784451438427,3.80472871994134,3.20181470663915,4.51132873529954,3.27454267567575,2.73374212776537,4.8852686851375,4.42054043515821
"LOC132723766",3.21529946904567,2.14295277444784,4.32961539969839,5.41464187818187,4.40253297399287,4.81827192377094,5.70872232180801,5.66131442860845,2.75381381346591,4.30889299150434,3.75087322004032,4.33381576009965,3.1515533487697,4.43279344139471,3.57443380429882,4.50097394565709,3.59274028864321,5.28288482392861,7.14930761850751,5.00528681334729,8.26242518552364,5.95650603218878,4.58866043529325,5.79423548180938,7.56701698219161,5.97564086463947,3.69273031220181,5.55525479287635,4.74364812379676,4.07709133168071
"LOC132742094",2.89644221334511,2.74295863960213,0,0.732217065474416,2.59390505686215,5.26975948297781,2.61587280912319,1.37866791622993,1.95326120707533,2.70825924237838,2.75529734549945,1.08907850790642,2.95596926555292,3.24508942271456,3.43582447708096,2.98653166997171,4.53167695934523,4.68121337248197,5.09734552457693,5.10898992201973,5.31766206325333,3.94875615323764,1.79530368506241,5.77157112640973,3.73354198434308,4.76378109129519,2.68325919000405,5.80485588359897,5.20642614369315,2.46900964214573
"LOC132741637",6.52611810440034,7.35632303792812,6.47032109143372,7.31909034348406,7.44529090009799,9.03485444472767,7.64415658751405,7.39428635307497,6.02574328098661,7.00351793527765,8.83705646248644,7.20515342785832,7.21512594108774,8.10237359356049,7.52617910422019,5.88270246005441,5.16578707536409,7.03251001372438,7.04048524008363,6.64870374465897,6.97293911954089,6.54232706637881,6.1160561135755,7.41391532136036,6.23828643888504,6.92324432553711,7.27626125765885,5.74095145976672,6.13096427934413,6.22342897662135
