"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132742068" 68.0492010706692 -1.48450800164499 0.334649238054491 -4.43601189793617 9.1640785079909e-06 0.0104310123617206
"LOC132738510" 114.224230022783 -0.944217983799515 0.25319694940947 -3.72918388630554 0.000192100931303347 0.0495076720881588
"LOC132727777" 27.0503605127884 1.80223374117053 0.405455135327658 4.44496464378013 8.79063230576917e-06 0.0104310123617206
"LOC132728236" 169.997079347771 0.527440299061962 0.131006263906261 4.02606931405481 5.67169764838873e-05 0.0282305048284175
"LOC132740341" 163.843954885787 -1.00960925218864 0.254724222077024 -3.96353846507521 7.38469584135604e-05 0.0314355545628063
"LOC132741452" 3020.53903848456 -0.647583938007017 0.141406487055896 -4.57959144230091 4.65885073514685e-06 0.00636352421913708
"LOC132741637" 147.140425711603 -1.02936174024543 0.264774414825282 -3.88769338202365 0.000101201353133233 0.0366692495388761
"LOC132741641" 20.3093406557458 3.34244042970007 0.721023066914624 4.63569139889368 3.55746375091621e-06 0.00539904415264051
"LOC132742094" 15.7210118061738 1.87601940598472 0.474497892473639 3.95369386406484 7.69538582220918e-05 0.0314355545628063
"LOC132742857" 560.056293423501 -0.872954578421577 0.232207408642263 -3.75937436073129 0.000170338792878991 0.0480791843132339
"LOC132743875" 120.999709714679 -0.781148622245096 0.205091804705492 -3.80877540848992 0.000139656735484646 0.0438336659550428
"LOC132745166" 62.7389259864658 1.19281265306938 0.296454397939482 4.02359574140265 5.73162680086995e-05 0.0282305048284175
"LOC132745822" 225.660280860098 -1.2996126275681 0.275593509464949 -4.71568662880063 2.4089696359466e-06 0.00411301453217433
"LOC132746012" 540.721225274829 -0.390129277353164 0.0998928720490565 -3.9054766306206 9.40398465420187e-05 0.0356802851088176
"LOC132746399" 80.8726248757508 -1.32406523491704 0.273403879107968 -4.84289118075814 1.27963377387667e-06 0.00311916012856139
"LOC132746437" 128.099938520346 -0.682269221442283 0.169799519744168 -4.01808687368633 5.86725671902775e-05 0.0282305048284175
"LOC132746792" 60.5513968574354 -1.14137983856311 0.236344902738848 -4.82929746034885 1.37015599761098e-06 0.00311916012856139
"LOC132750696" 16.3770561457808 -1.33093232806821 0.342607615678813 -3.88471320297774 0.000102450754476311 0.0366692495388761
"LOC132752133" 59.5327419214334 -1.19846756705115 0.287056275327518 -4.17502653681323 2.97951319911824e-05 0.0226095393259755
"LOC132752300" 622.808393408431 -0.834742840855723 0.204547093252929 -4.08093230551821 4.48554186400697e-05 0.0273858803817789
"LOC132753131" 145.273116864248 -0.784709692979914 0.208766120965846 -3.758798071974 0.00017073155666073 0.0480791843132339
"LOC132755646" 34.1310851017649 1.22471752950221 0.286758613734914 4.27090057923898 1.94685190565448e-05 0.0162353124499111
"LOC132757649" 210.852034572272 -1.25832538421485 0.334995087382191 -3.7562502604083 0.000172478221784059 0.0480791843132339
"LOC132757773" 22.2551698885547 2.37041234801752 0.541308079009489 4.37904483590012 1.19200608324496e-05 0.0122320380819829
"LOC132758254" 187.733916591935 -1.18862134745232 0.199765077853838 -5.95009578361838 2.67985614318897e-09 3.66041550598181e-05
"LOC132758583" 1019.73547764913 -1.05306856432654 0.243608379271047 -4.32279286729648 1.54066365543318e-05 0.0140292832463746
"LOC132758975" 77.1851380395887 -0.906866881466107 0.237797976907798 -3.81360217298118 0.000136955866892859 0.0438336659550428
"LOC132759052" 85.2613624513765 -1.13705267127361 0.280109909935074 -4.05930897459916 4.92181530107297e-05 0.0273858803817789
"LOC132759372" 58.4700840984085 -0.921918025796426 0.21628083549755 -4.26259693178812 2.0206480097261e-05 0.0162353124499111
"LOC132759609" 18.6792910887041 1.92682444735134 0.481098641841699 4.00505068976134 6.20041836776136e-05 0.0282305048284175
"LOC132759828" 279.901603073 0.476511049805806 0.124611295914246 3.82397957030899 0.000131314800520562 0.0437470453734233
"LOC132760592" 251.022871811509 -0.799120654637257 0.213977361291809 -3.73460374411976 0.000188010977782504 0.0495076720881588
"LOC132712777" 66.0375040016735 -2.75971619441514 0.665790153538853 -4.1450240436067 3.39778056368926e-05 0.0244264656418061
"LOC132713096" 63.8859784501633 -1.42494988620627 0.380748169170328 -3.74249964040883 0.000182198793656522 0.0495076720881588
"LOC132713118" 833.245160821139 -0.705057504189751 0.17850915832417 -3.94969933648657 7.8249422002739e-05 0.0314355545628063
"LOC132720366" 926.153182152209 -0.670224395510157 0.177319547313524 -3.7797547177645 0.000156982927220946 0.0476495511757977
"LOC132720785" 43.7318895442375 1.57040084956274 0.319348619394523 4.9175125683655 8.76508310240885e-07 0.00311916012856139
"LOC132721308" 966.498888317308 -0.823388916756763 0.220669462563445 -3.7313224366966 0.00019047724302731 0.0495076720881588
"LOC132722155" 290.305574624331 -0.994859819859236 0.251434663816237 -3.95673295304397 7.5981789912139e-05 0.0314355545628063
"LOC132722176" 323.076797787057 -0.829169969224819 0.201096074210572 -4.12325289034025 3.73559180745963e-05 0.0255122242490456
"LOC132722732" 17.5215842293384 -2.19059430557526 0.564668684250051 -3.87943296073632 0.000104700251264087 0.0366692495388761
"LOC132723296" 528.595753584393 -0.812367079946199 0.212249901408746 -3.82740851493619 0.000129499491563164 0.0437470453734233
"LOC132723766" 45.1313235357299 1.70981889255222 0.436138757538839 3.92035530664793 8.84185109551373e-05 0.0345059554610349
"LOC132725056" 65.0146640967644 -1.2696404646654 0.267645461878035 -4.74373993026627 2.0980817651445e-06 0.00409395697572982
"LOC132727157" 96.4994266524 -1.01161604456796 0.268566649906967 -3.76672250600879 0.000165404671013602 0.0480791843132339
"LOC132729160" 30.7258004523078 -1.29583861185294 0.323271295476498 -4.00851739695259 6.11011383345737e-05 0.0282305048284175
"LOC132729677" 540.891416070394 -0.586739861560087 0.144693729467902 -4.05504691680675 5.01242411263249e-05 0.0273858803817789
"LOC132730403" 394.912227653451 -1.16780764980031 0.267353593472366 -4.36802675674908 1.25374136574977e-05 0.0122320380819829
"LOC132730855" 29.8583586632429 -1.40054172391568 0.367977478520539 -3.80605283113138 0.000141202233107979 0.0438336659550428
"LOC132731011" 68.0791761662495 -1.07912757601616 0.222815036963528 -4.84315417272667 1.27794051811617e-06 0.00311916012856139
"LOC132731097" 14.9037428405993 3.7188617864098 0.664937038700891 5.59280288202242 2.23432909936596e-08 0.000152593505841198
