"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC132742068" 68.0492010706692 -1.48450391332513 0.334304392899985 -4.44057554986797 8.97185995778908e-06 0.0119352653018468
"LOC132727777" 27.0503605127884 1.80222392037455 0.404790686380209 4.45223662750424 8.49804417649165e-06 0.0119352653018468
"LOC132728236" 169.997079347771 0.527450467293071 0.131262209323593 4.01829643132686 5.86204220645229e-05 0.0305690852288899
"LOC132740341" 163.843954885787 -1.0096090961405 0.254650254554457 -3.96468912983002 7.34916590397781e-05 0.0360158246495986
"LOC132741452" 3020.53903848456 -0.647583776564307 0.141645453613203 -4.57186418656746 4.8340423077867e-06 0.0080384081025608
"LOC132741637" 147.140425711603 -1.02936193261778 0.264666589470871 -3.88927795788547 0.000100542910726327 0.0405309800421917
"LOC132743875" 120.999709714679 -0.781148960923933 0.205135438401465 -3.8079669071863 0.000140114017886686 0.0490509678933311
"LOC132745166" 62.7389259864658 1.19281352080163 0.296189339373704 4.02719936957843 5.64451688137909e-05 0.0305690852288899
"LOC132745822" 225.660280860098 -1.29961189935647 0.275482293589933 -4.71758777096216 2.38657449506123e-06 0.00453551435825707
"LOC132746012" 540.721225274829 -0.3901229792604 0.100200232076095 -3.89343388909647 9.88351462970477e-05 0.0405309800421917
"LOC132746399" 80.8726248757508 -1.32406408288644 0.273226039613947 -4.84603914311123 1.25950676775024e-06 0.00361401697404927
"LOC132746437" 128.099938520346 -0.682270856908669 0.169943993179916 -4.01468062590694 5.95263429945648e-05 0.0305690852288899
"LOC132746792" 60.5513968574354 -1.14137874670593 0.236260356076056 -4.83102102131132 1.3583466037921e-06 0.00361401697404927
"LOC132750696" 16.3770561457808 -1.33092596408701 0.342114883547844 -3.89028957256951 0.000100124669363424 0.0405309800421917
"LOC132752133" 59.5327419214334 -1.19847156129039 0.28680782307864 -4.17865715246469 2.93235341574915e-05 0.0260060649931406
"LOC132752300" 622.808393408431 -0.834742989004722 0.204649800670326 -4.07888493548755 4.52522259588415e-05 0.0305690852288899
"LOC132755646" 34.1310851017649 1.22472576227905 0.286477438182434 4.27512117550814 1.91033364756732e-05 0.0191617759782838
"LOC132758254" 187.733916591935 -1.18861989323845 0.199842114973515 -5.94779480489374 2.71778990690428e-09 3.61547591315476e-05
"LOC132758583" 1019.73547764913 -1.05306851554759 0.243643845108484 -4.32216342292046 1.54506675154488e-05 0.0171283524965013
"LOC132758975" 77.1851380395887 -0.906862640297875 0.237722304130877 -3.81479829422571 0.000136294213179571 0.0490509678933311
"LOC132759052" 85.2613624513765 -1.13705224593043 0.279912217423109 -4.06217440738462 4.86177312383154e-05 0.0305690852288899
"LOC132759372" 58.4700840984085 -0.92191851757184 0.216258079876582 -4.26304773490071 2.01657418398837e-05 0.0191617759782838
"LOC132759828" 279.901603073 0.476512577307572 0.124874891519809 3.81591984992423 0.000135676543244286 0.0490509678933311
"LOC132712777" 66.0375040016735 -2.75971619441514 0.665790153538853 -4.1450240436067 3.39778056368926e-05 0.0282504217742239
"LOC132713118" 833.245160821139 -0.705057768985043 0.178669556163691 -3.94615503683846 7.94162017546924e-05 0.0364301286876784
"LOC132720785" 43.7318895442375 1.57040185973419 0.318880255723343 4.9247384607489 8.44732596143063e-07 0.00361401697404927
"LOC132722155" 290.305574624331 -0.99485961295144 0.251399380649694 -3.9572874458975 7.58056897082433e-05 0.0360158246495986
"LOC132722176" 323.076797787057 -0.829170497879964 0.201187176920293 -4.12138840343919 3.76595887043247e-05 0.0294697357960959
"LOC132723296" 528.595753584393 -0.812367146877576 0.212328637041047 -3.8259895518499 0.000130247814028002 0.0490509678933311
"LOC132723766" 45.1313235357299 1.70980579921716 0.435411272793719 3.92687536141765 8.6056546769404e-05 0.0381603413891127
"LOC132725056" 65.0146640967644 -1.26964773826284 0.267462533919147 -4.74701155208023 2.06444165298475e-06 0.00453551435825707
"LOC132729160" 30.7258004523078 -1.29584465282056 0.322846278872944 -4.01381319104669 5.97456375216971e-05 0.0305690852288899
"LOC132729677" 540.891416070394 -0.586741456837208 0.144918922864216 -4.04875667884285 5.14904424839684e-05 0.0305690852288899
"LOC132730403" 394.912227653451 -1.16780756374525 0.267289148525446 -4.36907959110086 1.24771290061061e-05 0.0150893861062026
"LOC132730855" 29.8583586632429 -1.40055432661317 0.367387760517425 -3.8121964777505 0.000137737317303495 0.0490509678933311
"LOC132731011" 68.0791761662495 -1.07912706772809 0.222781533419466 -4.84388024072108 1.27327696037592e-06 0.00361401697404927
"LOC132732296" 363.543263753277 0.764665009928574 0.188528126167581 4.05597310848393 4.99260037951571e-05 0.0305690852288899
"LOC132734395" 509.426124325621 -0.693437454088216 0.169644790838185 -4.08758471546379 4.3588752657705e-05 0.0305690852288899
